"Cmax = 0.857","q = 0","q = 1","q = 2"
"S001",8.37,5.36,3.98
"S002",20.74,14.29,10.82
"S003",22.51,16.57,12.87
"S004",26.44,16.37,9.56
"S005",19.57,15.39,12.56
"S006",18.13,11.6,8.16
"S007",24.58,18.14,13.95
"S008",17.11,12.89,10.21
"S009",22.48,14.5,9.71
"S010",17.58,10.05,6.57
"S011",21.9,15.16,11.01
"S012",18.45,12.86,8.97
"S013",22.28,14.91,10.15
"S014",19.62,11.76,7.55
"S015",24.45,16.71,11.66
"S016",19.65,13.4,9.84
"S017",17.48,9.46,5.98
"S018",15.28,11.84,9.67
"S019",14.24,9.98,7.56
"S020",14.76,9.02,6.61
"S021",19.15,14.53,11.34
"S022",12.11,8.63,6.41
"S023",14.13,10.22,7.99
"S024",11.67,8.72,6.96
"S025",24.41,17.12,12.49
"S026",10.01,5.83,3.7
"S027",12.94,8.61,5.98
"S028",18.08,13.97,11.07
"S029",4.46,3.43,2.83
"S030",4.04,3.38,2.92
"S031",3.31,2.75,2.39
"S032",15.88,11.76,9.18
"S033",7.84,5.29,4.03
"S034",11.91,9,7.21
"S035",13.16,8.51,5.88
"S036",7.07,2.98,1.9
"S037",12.69,9,6.94
"S038",7.34,3.95,2.63
"S039",17.11,12.75,10.02
"S040",14.47,9.45,6.58
"S041",18.13,13.44,10.44
"S042",16,9.83,6.36
"S043",10.35,6.18,4.24
"S044",19.19,13.78,10.63
"S045",18.29,13.91,11
"S046",17.03,8.53,4.57
"S047",8.25,5.33,3.77
"S048",10.13,5.29,3.36
"S049",13.92,7.27,4.41
"S050",18.72,10.36,6.38
"S051",19.6,13.99,10.63
"S052",10.74,6.14,4.12
"S053",9.86,6.04,4.33
"S054",9.8,5.47,3.61
"S055",6.43,2.71,1.78
"S056",6.23,2.75,1.82
"S057",13.45,7.76,5.11
"S058",18.92,11.84,7.7
"S059",22.4,14.82,10.28
"S060",18.44,13.55,10.52
"S061",23.49,16.2,12.11
"S062",12.7,5.6,3.13
"S063",13.69,7.05,4.34
"S064",8.66,4.45,2.76
"S065",17.85,12.29,8.82
"S066",18.47,13.3,10.18
"S067",16.7,9.08,6.16
"S068",22.22,15.27,11.27
"S069",26.27,18.14,13.65
"S070",24.02,18.31,14.44
"S071",17.5,10.3,6.71
"S072",17.01,9.13,5.11
"S073",21.74,12.17,7.29
"S074",14.44,7.53,4.38
"S075",22.66,14.14,9.12
"S076",20.54,13.81,9.38
"S077",19.86,10.52,6.06
"S078",20.74,15.29,12.17
"S079",16.4,12.04,9.17
"S080",17.79,12.57,9.54
"S081",18.44,13.36,10.15
"S082",19.27,15.08,12.31
"S083",21.67,16.11,12.43
"S084",18.29,13.35,10.28
"S085",15.44,8.38,5.43
"S086",10.07,3.53,2.04
"S087",24.61,13.72,7.48
"S088",26.93,16.11,9.91
"S089",12.86,8.68,6.52
"S090",19.07,13.22,9.88
"S091",24.43,16.19,11.37
"S092",19.09,12.75,9.03
"S093",16.35,10.61,7.07
"S094",16.98,9.63,6.3
"S095",15.14,9.5,6.48
"S096",27.19,18.27,13.31
"S097",31.37,18.95,12.53
"S098",17.99,12.94,9.87
"S099",24.33,18.86,15.22
"S100",4.72,2.9,2.12
"S101",25.9,14.74,8.84
"S102",19.25,13.13,9.37
"S103",15.61,9.92,6.69
"S104",16.49,10.9,7.84
"S105",10.96,5.92,3.61
"S106",13.23,10.07,8.18
"S107",17.89,12.56,9.42
"S108",15.33,11.03,8.11
"S109",23.03,15.6,11.34
"S110",23.53,13.4,8.05
"S111",15.87,11.65,9.13
"S112",15.53,12.08,9.84
"S113",8.71,6.04,4.5
"S114",8.8,7.18,6.08
"S115",15.02,8.3,5.21
"S116",17.85,12.18,9.29
"S117",15.97,6.91,3.57
"S118",8.11,6.14,4.96
"S119",9.92,5.71,3.9
"S120",7.77,4.26,2.78
"S121",11.49,8.95,7.27
"S122",15.73,10.04,6.82
"S123",5.64,3.18,2.2
"S124",13.23,8.07,5.44
"S125",8.91,6.71,5.42
"S126",14.02,9.64,6.89
"S127",12.17,8.96,6.91
"S128",9,7.63,6.66
"S129",18.73,11.7,8.11
"S130",16.34,10.5,7.54
"S131",12.07,6.78,4.73
"S132",10.46,7.33,5.54
"S133",17.73,11.35,8.07
"S134",12.61,8.14,5.89
"S135",16.71,11.03,8.02
"S136",12.4,7.25,4.54
"S137",13.35,7.51,4.92
"S138",14.85,11.51,9.22
"S139",7.65,4.68,3.27
"S140",11.88,8.38,6.52
"S141",17.06,11.25,7.44
"S142",33.02,18.82,10.23
"S143",15.61,9.3,6.33
"S144",14.8,10.88,8.49
"S145",14.44,9.6,6.61
"S146",22.16,12.85,8.56
"S147",15.91,10.39,7.59
"S148",13.62,8.28,5.43
"S149",29.25,21.94,17.14
"S150",17.16,11.45,8.31
"S151",20.94,16.11,12.72
"S152",20.1,13.9,10.07
"S153",5.4,4.33,3.58
"S154",22.26,14.82,10.46
"S155",1.34,1.25,1.19
"S156",5.13,2.64,1.84
"S157",4.08,3.41,2.96
"S159",0.88,0.88,0.88
"S160",15.58,12.31,10.16
"S161",15.14,10.76,8.04
"S162",11.45,7.45,5.34
"S163",19.59,13.77,9.8
"S164",5.96,3.39,2.33
"S165",9.55,3.98,2.31
"S166",16.65,8.3,4.52
"S167",0.91,0.91,0.91
"S168",1.53,1.41,1.32
"S169",1.38,1.29,1.22
"S170",2.11,1.89,1.71
"S171",16.65,12.43,9.64
"S172",6.82,4.29,2.97
"S173",12.75,9.46,7.44
"S174",20.12,11.53,7.66
"S175",16.08,9.79,6.58
"S176",19.77,12.34,8.39
"S177",9.29,6.99,5.67
"S178",9.92,7.93,6.63
"S179",10.28,5.87,3.81
"S181",8.71,6.89,5.74
"S182",6.33,5.09,4.31
"S183",3.19,2.28,1.84
"S184",5.19,4.16,3.51
"S185",24.26,17.34,12.64
"S186",10.94,7.73,5.68
"S187",8.62,6.63,5.41
"S188",14.03,10.15,7.79
"S189",8.45,5.2,3.5
"S190",16.49,10.92,7.82
"S191",12.38,9.11,7.22
"S192",19.28,16.13,13.82
"S193",19.49,14.9,11.97
"S194",19.52,14.1,10.6
"S195",19.44,12.14,8.05
"S196",20.39,14.41,10.54
"S197",23.42,14.49,8.97
"S198",21.99,14.15,9.98
"S199",6.09,4.37,3.5
"S200",11.76,8.81,7.07
"S201",16.99,10.73,7.51
"S202",14.6,8.11,5.36
"S203",20.14,14.1,10.29
"S204",13.06,9.66,7.23
"S205",14.14,9.93,7.67
"S206",14.81,9.79,7.29
"S207",6.38,3.83,2.75
"S208",14.22,10.2,7.61
"S209",11.6,7.37,5.29
"S210",19.48,11.91,7.8
"S211",23.79,14.49,9.94
"S212",9.88,3.58,2.07
"S213",10.25,3.91,2.23
"S214",18.82,9.28,5.12
"S215",16.73,10.95,7.86
"S216",20.51,14.33,10.9
"S217",14.33,7.33,4.43
"S218",18.75,12.02,8.3
"S219",18.3,13.17,10.21
"S220",16.94,8.92,5.02
"S221",7.68,3.06,1.9
"S222",15.52,10.83,8.13
"S223",8.93,5.83,4.27
"S224",14.87,7.55,4.79
"S225",13.19,9.44,7.33
"S226",18.64,11.39,7.61
"S227",19.27,10.63,6.98
"S228",12.57,7.97,5.57
"S229",21.89,16.34,12.82
"S230",18.88,12.17,8.46
"S231",19.62,12.11,7.69
"S232",18.99,11.57,8.02
"S233",22.69,13.59,8.91
"S234",17.68,12.89,10.03
"S235",11.12,8.59,6.94
"S236",16.4,9.31,6.2
"S237",16.85,10.1,6.7
"S238",18.11,13.13,10.23
"S239",16.67,11.07,7.92
"S240",11.77,9.22,7.56
"S241",25.54,17.71,12.62
"S242",18.77,12.66,9.24
"S243",16.42,11.09,8.08
"S244",22.61,16.83,13.23
"S245",15.33,10.08,7.51
"S246",14.17,11.1,9.15
"S247",23.65,16.36,11.98
"S248",20.31,16.06,13.22
"S249",14.82,8.82,5.94
"S250",16.36,10.8,7.71
"S251",20.53,13.51,9.76
"S252",22.18,13.06,8.46
"S253",15.27,10.39,7.87
"S254",21.93,14.16,9.66
"S255",15.38,7.94,4.94
"S256",15.35,10.08,7.55
"S257",21,14.09,10.1
"S258",14.46,8.94,6.36
"S259",28.3,19.28,13.58
"S260",19.06,10.95,6.35
"S261",9.79,6.4,4.72
"S262",16.37,11.01,8.07
"S263",16.72,11.48,8.62
"S264",12.93,8.18,5.93
"S265",27.76,14.45,7.97
"S266",20.22,15.01,11.54
"S267",20.79,15.77,12.51
"S268",17.62,13.27,10.27
"S269",19.81,12.12,8.09
"S270",21.52,12.16,7.59
"S271",18.46,10.31,6.65
"S272",17.7,11.29,7.25
"S273",13.61,9.13,6.58
"S274",19.39,11.69,7.62
"S275",18.24,12.64,9.34
"S276",16.72,11.32,8.64
"S277",16.68,11.08,7.93
"S278",23.85,16.31,11.75
"S279",22.48,12.79,7.64
"S280",18.73,10.91,6.79
"S281",22.96,14.76,10.23
"S282",15.61,9.59,6.39
"S283",18.26,11.72,8.28
"S284",21.87,15.29,10.97
"S285",14.17,10.87,8.82
"S286",7.04,5.17,4.07
"S287",18.27,13.2,10.26
"S288",12.13,9.27,7.39
"S289",14.95,10.66,8.2
"S290",15.58,10.88,8.39
"S291",17.53,11.89,8.77
"S292",15.28,9.03,6.21
"S293",20.96,14,9.96
"S294",17.08,10.98,7.46
"X360057",22.19,16.15,12.53
"X360077",8.82,7.07,5.83
"X360188",14.05,10.42,7.87
"X370107",10.11,6.68,4.75
"X370118",3.6,2.4,1.87
"X380046",7.25,5.32,4.22
"X380068",10.59,7.64,5.86
"X380091",15.77,11.48,9.01
"X380108",3.74,3.07,2.63
"X380211",4.98,4.1,3.59
"X380279",16.93,6.81,3.45
"X380280",9.63,7.81,6.58
"X380289",10.33,4.62,2.73
"X380290",8.09,6.72,5.71
"X380297",9.46,7.36,6.21
"X380313",3.49,3.02,2.69
"X380343",3.4,2.46,1.97
"X380352",20.97,15.57,12.04
"X390010",9.93,7.86,6.56
"X390011",6.16,4.74,3.85
"X390032",27.34,14.45,8.1
"X390043",11.53,7.98,6.15
"X390044",8.84,7.02,5.79
"X390050",1.01,1.01,1.01
"X390078",2,1.97,1.94
"X390083",9.81,5.69,3.65
"X390091",10.46,8.26,6.76
"X390097",2.29,2.47,2.77
"X390104",10.48,7.38,5.63
"X390111",1.37,1.27,1.2
"X390117",14.23,10.54,8.34
"X390123",1,1,1
"X390138",11.3,7.13,4.76
"X390141",5.58,4.44,3.77
"X390151",6.78,5.34,4.53
"X390152",3.9,3.01,2.48
"X390172",16.43,9.36,5.86
"X390198",1.32,1.25,1.19
"X390199",8.46,4.81,3.29
"X390200",9.67,7.82,6.59
"X390202",11.5,8.88,7.4
"X390249",10.22,6.58,4.36
"X390289",11.36,7.82,6.01
"X390358",2,2,1.99
"X390376",4.45,3.05,2.35
"X390383",15.79,9.89,6.71
"X390384",22.61,11.63,7.95
"X390388",9.18,7.56,6.43
"X390397",17.21,11.1,8.08
"X390400",11.2,7.39,5.33
"X390401",8.64,6.63,5.5
"X390405",4.2,3.29,2.74
"X390408",11.06,8.78,7.34
"X390409",18.47,10.79,7.3
"X390419",12.72,8.6,6.18
"X390424",9.03,6.85,5.53
"X390429",11.98,8.78,6.79
"X390443",1.03,1.02,1.02
